"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Ads page","Positive","0","0","8","0","0"
"","Calendars page","Positive","0","0","10","0","0"
"","Form fields page","Special task","0","0","1","0","0"
"","Form fields page","Positive","0","0","10","0","0"
"","Modals page","Positive","0","0","10","0","0"
"","Calendars page","Negative","0","0","3","0","0"
"","Modals page","Negative","0","0","2","0","0"
"","Ads page","Negative","0","0","3","0","0"
"","Form fields page","Negative","0","0","3","0","0"
